indicator_orig,indic_id,indicator_harmonized
Index of Sustainable Economic Welfare (ISEW),IPBES_GA_6_139_289,index of sustainable economic welfare (isew)
 Genuine Progress Indicator (GPI),IPBES_GA_6_139_289,genuine progress indicator
 GDP,IPBES_GA_6_139_289,gross domestic product
Gross National Happiness Index,IPBES_GA_6_140_290,gross national happiness index
Biodiversity Barometer (% of respondents that have heard of biodiversity),IPBES_GA_3_15_329,biodiversity barometer (percentage of respondents that have heard of biodiversity)
 Biodiversity Barometer (% of respondents giving correct definition of biodiversity),IPBES_GA_3_15_329,biodiversity barometer (percentage of respondents giving correct definition of biodiversity)
 Funding for environmental education,IPBES_GA_3_15_329,funding for environmental education
 Online interest in biodiversity (proportion of google searches),IPBES_GA_3_15_329,online interest in biodiversity (proportion of google searches)
 Funding for Environmental Impact Assessments,IPBES_GA_3_15_329,funding for environmental impact assessments
 Number of research studies involving economic valuation,IPBES_GA_3_15_329,number of research studies involving economic valuation
 World Trade Organisation greenbox agricultural subsidies,IPBES_GA_3_15_329,world trade organisation greenbox agricultural subsidies
 Funding towards institutional capacity building in fisheries,IPBES_GA_3_15_329,funding towards institutional capacity building in fisheries
 Percentage of countries that are Category 1 CITES Parties,IPBES_GA_3_15_329,percentage of countries that are category 1 cites parties
 Ecological Footprint,IPBES_GA_3_15_329,ecological footprint
 Red List Index (impacts of utilisation),IPBES_GA_3_15_329,red list index (for utilized species)
 Red List Index (internationally traded species),IPBES_GA_3_15_329,red list index (internationally traded species)
 Human appropriation of fresh water,IPBES_GA_3_15_329,human appropriation of fresh water
 Wetland Extent Trends Index,IPBES_GA_3_15_329,wetland extent trends index
 Area of tree cover loss,IPBES_GA_3_15_329,tree cover
 Percentage natural habitat extent,IPBES_GA_3_15_329,extent of suitable habitat
 Wild Bird Index (habitat specialists),IPBES_GA_3_15_329,wild bird index (habitat specialists)
 Red List index (forest specialists),IPBES_GA_3_15_329,red list index (forest specialists)
 Proportion of fish stocks within safe biological limits,IPBES_GA_3_15_329,proportion of fish stocks within biologically sustainable levels
 Marine Stewardship Council certified fisheries,IPBES_GA_3_15_329,marine stewardship council certified fisheries
 Global effort in bottom-trawling,IPBES_GA_3_15_329,global effort in bottom-trawling
 Marine trophic index,IPBES_GA_3_15_329,marine trophic index (mti)
 Red List Index (impacts of fisheries),IPBES_GA_3_15_329,red list index (impacts of fisheries)
 Wild Bird Index (farmland birds),IPBES_GA_3_15_329,wild bird index (farmland birds)
 Area of agricultural land under organic production,IPBES_GA_3_15_329,area of agricultural land under organic production
 Area of agricultural land under conservation,IPBES_GA_3_15_329,area of agricultural land under conservation
proportion of countries that are category 1 signatories to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),IPBES_GA_3_26_354,proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites)
Growth in human appropriation of net primary production (HANPP) ,IPBES_GA_3_26_355,growth in human appropriation of net primary productivity
 ecological footprint,IPBES_GA_3_26_355,ecological footprint
 water footprint,IPBES_GA_3_26_355,water footprint
 Demand for greener products and services,IPBES_GA_3_26_355,demand for greener products and services
 green consumption,IPBES_GA_3_26_355,green consumption
annual rate of net forest loss,IPBES_GA_3_27_356,annual rate of net forest loss
 annual tree cover loss,IPBES_GA_3_27_356,annual rate of net forest loss
"wild bird index (farmland birds)
",IPBES_GA_3_31_358,wild bird index (farmland birds)
percentage of live coral cover,IPBES_GA_3_34_361,percentage of live coral cover
Climatic Impact INDEX,IPBES_GA_3_35_362,climatic impact index
proportion of sites in the World Database on Protected Areas reporting shared governance,IPBES_GA_3_38_364,proportion of sites in the world database on protected areas reporting shared governance
number of extintions,IPBES_GA_3_40_367,number of extintions
  IUCN Red List,IPBES_GA_3_40_368,red list index
Living Planet INDEX,IPBES_GA_3_41_369,living planet index
proportion of domesticated breeds categorized as at risk or extinct,IPBES_GA_3_44_371,proportion of domesticated breeds categorized as at risk or extinct
 extinction risk of wild relatives of domesticated or farmed birds and mammals,IPBES_GA_3_44_371,extinction risk of wild relatives of domesticated or farmed birds and mammals
IUCN Red List,IPBES_GA_3_45_374,red list index
 Red List INDEX for vertebrate pollinators,IPBES_GA_3_45_374,red list index (vertebrate pollinators)
number of countries implementing NBSAPs,IPBES_GA_3_48_377,number of countries implementing nbsaps
numbers of scientific publications on biodiversity,IPBES_GA_3_49_379,numbers of scientific publications on biodiversity
 relevant research funding,IPBES_GA_3_49_379,relevant research funding
 taxa assessed for the IUCN Red List,IPBES_GA_3_49_379,proportion of known species assessed through the red list index
 species with data included in the Global Biodiversity Information Facility,IPBES_GA_3_49_379,species with data included in the global biodiversity information facility
 Mean polar sea ice extent,IPBES_GA_3_51_381,mean polar sea ice extent
 Official development assistance provided in support of CBD objectives,IPBES_GA_3_51_381,official development assistance provided in support of the cbd objectives
 Wild Bird INDEX (habitat specialists),IPBES_GA_3_51_381,wild bird index (habitat specialists)
 Pesticide use,IPBES_GA_3_51_381,pesticide use
 Glacial mass balance,IPBES_GA_3_51_381,glacier mass balance
Red List INDEX for birds and mammals,IPBES_GA_3_51_382,red list index (birds and mammals)
Species Habitat INDEX,IPBES_GA_3_54_387,species habitat index
 Pesticide Use,IPBES_GA_3_54_387,pesticide use
Area of tree cover loss,IPBES_GA_3_55_389,tree cover
 Marine trophic INDEX,IPBES_GA_3_55_389,marine trophic index (mti)
 Percentage of Key Biodiversity Areas covered by protected areas,IPBES_GA_3_55_389,protected area coverage of key biodiversity areas
Red List Index (impacts of pollution),IPBES_GA_3_72_395,red list index (impacts of pollution)
 Percentage of freshwater Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395,percentage of freshwater key biodiversity areas covered by protected areas
 Proportion of fish stocks in safe biological limits,IPBES_GA_3_72_395,proportion of fish stocks within biologically sustainable levels
 Marine Stewardship Council engaged fisheries (tonnes),IPBES_GA_3_72_395,marine stewardship council engaged fisheries
 Percentage of marine and coastal areas covered by protected areas,IPBES_GA_3_72_395,protected area coverage of marine and coastal areas
 Percentage of marine Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395,percentage of marine key biodiversity areas covered by protected areas
 Percentage of terrestrial areas covered by protected areas,IPBES_GA_3_72_395,percentage of terrestrial ecoregions covered by protected areas
 Percentage of terrestrial ecoregions covered by protected areas,IPBES_GA_3_72_395,percentage of terrestrial ecoregions covered by protected areas
 Number of protected area management effectiveness assessments,IPBES_GA_3_72_395,number of protected area management effectiveness (pame) assessments
 Percentage of terrestrial Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395,protected area coverage of key biodiversity areas
 Area of forest under sustainable management: total FSC and PEFC forest management certification (million ha),IPBES_GA_3_72_395,area of forest under sustainable management
 Area of tree cover loss (ha),IPBES_GA_3_72_395,tree cover
 Percentage of mountain Key Biodiversity Areas covered by protected areas,IPBES_GA_3_72_395,coverage by protected areas of important sites for mountain biodiversity
 Climatic Impact Index for Birds,IPBES_GA_3_72_395,climatic impact index for birds
 Number of invasive alien species introductions,IPBES_GA_3_72_395,number of invasive alien species introduction events
 Percentage of countries with invasive alien species legislation,IPBES_GA_3_72_395,percentage of countries with invasive alien species legislation
 Red List Index (impacts of invasive alien species),IPBES_GA_3_72_395,red list index (impacts of invasive alien species)
biochemical oxygen demand (BOD),IPBES_GA_3_74_399,biochemical oxygen demand (bod)
 nitrogen (N) loads,IPBES_GA_3_74_399,nitrogen (n) loads
 phosphorus (P) loads,IPBES_GA_3_74_399,phosphorus (p) loads
 total dissolved solids (TDS),IPBES_GA_3_74_399,total dissolved solids (tds)
blue water sustainability INDEX,IPBES_GA_3_76_401,blue water sustainability index
Human Development INDEX (HDI),IPBES_GA_3_77_402,human development index (hdi)
human development INDEX,IPBES_GA_3_97_413,human development index (hdi)
 multidimensional poverty INDEX,IPBES_GA_3_97_413,multidimensional poverty index
 Individual Deprivation Measure,IPBES_GA_3_97_413,individual deprivation measure
City Biodiversity INDEX,IPBES_GA_3_115_417,city biodiversity index
CO2 emissions,IPBES_GA_3_123_420,co2 emissions
 air quality,IPBES_GA_3_123_420,air quality
 water quality,IPBES_GA_3_123_420,water quality
proportion of the rural population who live within 2 km of an all-season road,IPBES_GA_3_128_421,proportion of the rural population who live within 2 km of an all-season road
 Passenger and freight volumes by mode of transport,IPBES_GA_3_128_421,passenger and freight volumes by mode of transport
migratory birds threatened or Near Threatened on the IUCN Red List,IPBES_GA_3_150_436,migratory birds threatened or near threatened on the red list index
 Red List INDEX,IPBES_GA_3_150_436,red list index
fisheries stock size,IPBES_GA_3_164_441,fisheries stock size
 fisheries exploitation rates,IPBES_GA_3_164_441,fisheries exploitation rates
Arctic Species Trend INDEX,IPBES_GA_3_169_443,arctic species trend index
number of countries that have ratified the Nagoya Protocol,IPBES_GA_3_175_446,number of countries that have ratified the nagoya protocol
IUCN Red List of Threatened Species,IPBES_SUA_1_1_1,red list index
GDP,IPBES_SUA_1_11_4,gross domestic product
Human Development Index,IPBES_SUA_1_12_5,human development index (hdi)
 Inclusive Wealth,IPBES_SUA_1_12_5,inclusive wealth
 Gross National Happiness Index,IPBES_SUA_1_12_5,gross national happiness index
IUCN Red List of threatened species,IPBES_SUA_1_22_10,red list index
number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits,IPBES_SUA_2_90_65,number of countries with policies to secure that [fish] mortalities are accounted for and kept within safe biological limits
 number of countries with regulations requiring recovered of depleted species,IPBES_SUA_2_90_65,number of countries with regulations requiring recovered of depleted species
 Marine Stewardship Council Certified catch,IPBES_SUA_2_90_65,marine stewardship council certified catch
 Share of main groups of species in fish trade in terms of value,IPBES_SUA_2_90_65,share of main groups of species in fish trade in terms of value
importance of forests to people,IPBES_SUA_2_92_69,importance of forests to people
" Area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values",IPBES_SUA_2_92_69,"area and percent of forests managed primarily to protect the range of cultural, social and spiritual needs and values"
 Recognition and value of forest-management knowledge and skills of local people,IPBES_SUA_2_92_69,recognition and value of forest-management knowledge and skills of local people
 Area and percent of forests used for subsistence purposes,IPBES_SUA_2_92_69,area and percent of forests used for subsistence purposes
 Resilience of forest-dependent communities,IPBES_SUA_2_92_69,resilience of forest-dependent communities
Ecolabel Index,IPBES_SUA_2_93_72,ecolabel index
quality and abundance of food and medicine species,IPBES_SUA_2_95_77,quality and abundance of food and medicine species
 habitat quality,IPBES_SUA_2_95_77,habitat quality
 harvest intensity,IPBES_SUA_2_95_77,harvest intensity
 sharing and trading institutions,IPBES_SUA_2_95_77,sharing and trading institutions
 accessibility of resources,IPBES_SUA_2_95_77,accessibility of resources
 weather patterns,IPBES_SUA_2_95_77,weather patterns
 cultural continuity,IPBES_SUA_2_95_77,cultural continuity
 abnormal occurrences in the territory,IPBES_SUA_2_95_77,abnormal occurrences in the territory
abundance of food species,IPBES_SUA_2_96_79,abundance of food species
 catch per unit effort,IPBES_SUA_2_96_79,catch per unit effort
 spatial distribution of species,IPBES_SUA_2_96_79,spatial distribution of species
 associated species,IPBES_SUA_2_96_79,associated species
 cyclical patterns of abundance,IPBES_SUA_2_96_79,cyclical patterns of abundance
 quality and abundance of food and medicine species,IPBES_SUA_2_96_79,quality and abundance of food and medicine species
prevalence of certain species,IPBES_SUA_2_97_80,prevalence of certain species
 sounds associated with the forest,IPBES_SUA_2_97_80,sounds associated with the forest
 intensity of weather,IPBES_SUA_2_97_80,intensity of weather
 strength of people’s connection to the forest,IPBES_SUA_2_97_80,strength of people’s connection to the forest
 body condition,IPBES_SUA_2_97_80,body condition
 population size,IPBES_SUA_2_97_80,population size
 variability in migration patterns,IPBES_SUA_2_97_80,variability in migration patterns
 environmental change,IPBES_SUA_2_97_80,environmental change
 hunting success,IPBES_SUA_2_97_80,hunting success
 prevalence of knowledge about seasonal cycles in their communities,IPBES_SUA_2_97_80,prevalence of knowledge about seasonal cycles in their communities
 mean body mass,IPBES_SUA_2_97_80,mean body mass
 abundance of preferred harvest species,IPBES_SUA_2_97_80,abundance of preferred harvest species
 catch-per-unit effort,IPBES_SUA_2_97_80,catch per unit effort
number of publications,IPBES_SUA_4_2_109,number of publications
impact of agricultural habitat conversion on birds,IPBES_SUA_4_42_113,impact of agricultural habitat conversion on birds
Loss of lichen diversity,IPBES_SUA_4_47_115,loss of lichen diversity
Farmland Bird Index,IPBES_SUA_4_51_116,farmland bird index
 Quality of Governance Index,IPBES_SUA_4_61_118,quality of governance index
number of CITES parties that have adopted standard procedures for non-detrimental findings,IPBES_SUA_4_65_122,number of cites parties that have adopted standard procedures for non-detrimental findings
 number of surveys of CITES listed species undertaken by exporting States to support non-detrimental findings,IPBES_SUA_4_65_122,number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings
number of Appendix-II species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the Review of Significant Trade,IPBES_SUA_4_66_123,number of appendix-ii species for which trade is determined to be non-detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade
 uplisting of species or populations from Appendix II to Appendix I,IPBES_SUA_4_66_123,uplisting of species or populations from appendix ii to appendix i
Number of CITES parties with increased capacity,IPBES_SUA_4_68_125,number of cites parties with increased capacity
 CITES parties that have implemented relevant resolutions and decisions,IPBES_SUA_4_68_125,cites parties that have implemented relevant resolutions and decisions
Red List Index,IPBES_SUA_4_70_126,red list index
commercial trade in wild-collected specimens,IPBES_SUA_4_71_127,commercial trade in wild-collected specimens
 Red List Index,IPBES_SUA_4_71_127,red list index
Body fat,IPBES_SUA_4_78_130,body fat
 reproductive success,IPBES_SUA_4_78_130,reproductive success
 abundance and location of habitat,IPBES_SUA_4_78_130,abundance and location of habitat
Body condition,IPBES_SUA_4_89_132,body condition
 Reproductive success,IPBES_SUA_4_89_132,reproductive success
 Habitat conditions,IPBES_SUA_4_89_132,habitat conditions
income,IPBES_SUA_4_149_137,income
 GDP,IPBES_SUA_4_149_137,gross domestic product
 access to land,IPBES_SUA_4_149_137,access to land
Multidimensional Poverty Index,IPBES_SUA_4_149_138,multidimensional poverty index
 material wealth,IPBES_SUA_4_149_140,material wealth
trade in wild mammals,IPBES_SUA_4_184_143,trade in wild mammals
 trade in wild animals,IPBES_SUA_4_184_143,trade in wild animals
Living Planet Index,IPBES_SUA_4_256_160,living planet index
Governance Index,IPBES_SUA_6_77_200,governance index
catch per unit effort,IPBES_SUA_6_115_207,catch per unit effort
invasive alien species are given new names by Indigenous Peoples and local communities,IPBES_IAS_1_53_8,invasive alien species are given new names by indigenous peoples and local communities
Total imports,IPBES_IAS_2_5_11,total imports
 Human population size,IPBES_IAS_2_5_11,human population size
 Gross domestic product per capita,IPBES_IAS_2_5_11,gross domestic product
 Number of tourists,IPBES_IAS_2_5_11,number of tourists
 Proportion of cropland,IPBES_IAS_2_5_11,proportion of cropland
 Proportion of urban area,IPBES_IAS_2_5_11,proportion of urban area
 Ship calls,IPBES_IAS_2_5_11,ship calls
 Number of people migrating,IPBES_IAS_2_5_11,number of people migrating
 Temperature,IPBES_IAS_2_5_11,temperature
number of studies on IAS available per region,IPBES_IAS_2_13_15,number of studies on ias available per region
number of widespread phyla for which no information was available for a particular region,IPBES_IAS_2_13_16,number of widespread phyla for which no information was available for a particular region
Comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region,IPBES_IAS_2_14_17,comparison of the number of available first records of established alien species for a region with the total number of species recorded for the same region
Total number of introduced alien species,IPBES_IAS_2_15_20,total number of introduced alien species
 Rate of species accumulation,IPBES_IAS_2_15_20,rate of species accumulation
Human development index,IPBES_IAS_2_18_24,human development index (hdi)
Red List of threatened species,IPBES_IAS_2_48_40,red list index
Current distribution of species,IPBES_IAS_2_155_79,current distribution of species
GDP per capita,IPBES_IAS_3_8_84,gross domestic product
 Human population density,IPBES_IAS_3_8_84,human population density
 mean annual precipitation,IPBES_IAS_3_8_84,mean annual precipitation
 mean annual temperature,IPBES_IAS_3_8_84,mean annual temperature
 alien species richness,IPBES_IAS_3_8_84,alien species richness
GDP,IPBES_IAS_3_34_90,gross domestic product
Evolutionary diversity,IPBES_IAS_3_84_95,evolutionary diversity
 tree biomass,IPBES_IAS_3_84_95,tree biomass
 phylogenetic distance,IPBES_IAS_3_84_95,phylogenetic distance
 species richness,IPBES_IAS_3_84_95,species richness
concentration of hydrogen ions (H+),IPBES_IAS_4_8_100,concentration of hydrogen ions (h+)
Number of extinctions,IPBES_IAS_4_22_102,number of species extinctions
 Number of species at risk of extinction,IPBES_IAS_4_22_102,number of species at risk of extinction
 local species richness,IPBES_IAS_4_22_102,local species richness
 Mean body length,IPBES_IAS_4_22_102,mean body length
 IUCN Red List Index,IPBES_IAS_4_22_102,red list index
species growth rate,IPBES_IAS_4_64_104,species growth rate
 species Condition Index,IPBES_IAS_4_64_104,species condition index
totem or culturally important species,IPBES_IAS_4_140_116,totem or culturally important species
IUCN Red List,IPBES_IAS_5_52_127,red list index
Functional diversity,IPBES_IAS_5_109_131,functional diversity
Proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,IPBES_IAS_5_120_132,proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species
Macroinvertebrate-based indices,IPBES_IAS_5_130_134,macroinvertebrate-based indices
trends in pathways of introduction and spread,IPBES_IAS_6_11_138,trends in pathways of introduction and spread
 trends in numbers of invasive alien species and their impacts,IPBES_IAS_6_11_138,trends in numbers of invasive alien species and their impacts
" trends, mechanisms and severity of invasive alien species impacts",IPBES_IAS_6_11_138,"trends, mechanisms and severity of invasive alien species impacts"
 trends in the allocation of resources towards the prevention or control of invasive alien species,IPBES_IAS_6_11_138,trends in the allocation of resources towards the prevention or control of invasive alien species
 trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species,IPBES_IAS_6_11_138,trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species
 trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IPBES_IAS_6_11_138,trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species
 trends in the prevention of invasive alien species,IPBES_IAS_6_11_138,trends in the prevention of invasive alien species
 growth in information relevant to informing policy on invasive alien species prevention and control,IPBES_IAS_6_11_138,growth in information relevant to informing policy on invasive alien species prevention and control
 trends in successful control and eradications of invasive alien species,IPBES_IAS_6_11_138,trends in successful control and eradications of invasive alien species
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,IPBES_IAS_6_14_142,existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species
 resourcing of invasive alien species prevention and control activities,IPBES_IAS_6_14_142,resourcing of invasive alien species prevention and control activities
National funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143,national funding for resourcing of biological invasions policy and management implementation
 Global funding for resourcing of biological invasions policy and management implementation,IPBES_IAS_6_17_143,global funding for resourcing of biological invasions policy and management implementation
Number of biogeographic regions with risk-associated activities,IPBES_IAS_6_21_146,number of biogeographic regions with risk-associated activities
 Trends in numbers of facilities in the region,IPBES_IAS_6_21_146,trends in numbers of facilities in the region
" Number of tourists, scientists and facilities per biogeographic region",IPBES_IAS_6_21_146,"number of tourists, scientists and facilities per biogeographic region"
 Number of alien and invasive taxa per biogeographic region,IPBES_IAS_6_21_146,number of alien and invasive taxa per biogeographic region
 Trends in extinction risk of birds impacted by invasive species,IPBES_IAS_6_21_146,trends in extinction risk of birds impacted by invasive species
 Prospective inclusion of other native taxa and threatened habitats,IPBES_IAS_6_21_146,prospective inclusion of other native taxa and threatened habitats
 Trends in adoption of multinational agreements to reduce invasive alien species threats,IPBES_IAS_6_21_146,trends in adoption of multinational agreements to reduce invasive alien species threats
 Trends in invasive alien species relevant submissions to managers,IPBES_IAS_6_21_146,trends in invasive alien species relevant submissions to managers
 Trends in invasive alien species eradication at different scales,IPBES_IAS_6_21_146,trends in invasive alien species eradication at different scales
number of alien taxa,IPBES_IAS_6_56_150,number of alien taxa
 species negatively impacting biodiversity,IPBES_IAS_6_56_150,species negatively impacting biodiversity
 Trends in species at risk of localized extinction in a protected area,IPBES_IAS_6_56_150,trends in species at risk of localized extinction in a protected area
 extent of which essential policy and management approaches have been adopted,IPBES_IAS_6_56_150,extent of which essential policy and management approaches have been adopted
Gross domestic product,IPBES_IAS_6_85_153,gross domestic product
 Gross national product,IPBES_IAS_6_85_153,gross national product
 Genuine Progress indicator,IPBES_IAS_6_85_153,genuine progress indicator
 index of sustainable economic welfare (isew),IPBES_IAS_6_85_153,index of sustainable economic welfare (isew)
 Gross National Happiness measure,IPBES_IAS_6_85_153,gross national happiness index
Spread of alien species by pathway,IPBES_IAS_6_97_160,spread of alien species by pathway
" Impact of alien species on sensitive places, species and functions",IPBES_IAS_6_97_160,"impact of alien species on sensitive places, species and functions"
 Interventions to limit spread and reduce impact of alien species,IPBES_IAS_6_97_160,interventions to limit spread and reduce impact of alien species
alien species occurrence,IPBES_IAS_6_114_165,alien species occurrence
 status of an individual or species as native or alien,IPBES_IAS_6_114_165,status of an individual or species as native or alien
 invasive alien species impact,IPBES_IAS_6_114_165,invasive alien species impact
Rate of invasive alien species establishment,IPBES_IAS_6_119_173,rate of invasive alien species establishment
Trends in pathways of introduction and spread,IPBES_IAS_6_119_174,trends in pathways of introduction and spread
 Trends in numbers and spatial distribution of invasive alien species and their impacts,IPBES_IAS_6_119_174,trends in numbers and spatial distribution of invasive alien species and their impacts
" Trends, mechanisms and severity of invasive alien species impacts",IPBES_IAS_6_119_174,"trends, mechanisms and severity of invasive alien species impacts"
 Trends in the allocation of resources towards the prevention or control of invasive alien species,IPBES_IAS_6_119_174,trends in the allocation of resources towards the prevention or control of invasive alien species
 Trends in establishments and national adoption of international agreements relevant to the prevention and control of invasive alien species,IPBES_IAS_6_119_174,trends in establishment and national adoption of international agreements relevant to the prevention and control of invasive alien species
 Trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species,IPBES_IAS_6_119_174,trends in numbers of countries with national legislation and other policy measures relevant to the prevention and/or control of invasive alien species
 Trends in the prevention and eradication and control of invasive alien species,IPBES_IAS_6_119_174,trends in the prevention and eradication and control of invasive alien species
 Growth in information relevant to informing policy on invasive alien species prevention and control,IPBES_IAS_6_119_174,growth in information relevant to informing policy on invasive alien species prevention and control
 Trends in successful eradications of invasive alien species,IPBES_IAS_6_119_174,trends in successful eradications of invasive alien species
 Improvement in conseration status of species threatened by invasive alien species,IPBES_IAS_6_119_174,improvement in conseration status of species threatened by invasive alien species
Antarctic ice cores,IPCC_1_13_4,antarctic ice cores
 direct CO2 air measurements,IPCC_1_13_4,direct co2 air measurements
 Global Precipitation Climatology Centre (GPCC) V8,IPCC_1_13_4,global precipitation climatology centre (gpcc) v8
 glacier mass loss,IPCC_1_13_4,glacier mass loss
 global surface air temperature (GMST),IPCC_1_13_4,global mean surface temperature (gmst)
 sea level change,IPCC_1_13_4,sea level change
 ocean heat content,IPCC_1_13_4,ocean heat content
atmospheric CO2 concentrations,IPCC_1_16_6,atmospheric co2 concentrations
 global mean surface temperature (GMST),IPCC_1_16_6,global mean surface temperature (gmst)
 global mean sea level (GMSL),IPCC_1_16_6,global mean sea level (gmsl)
pH of ocean surface water,IPCC_1_32_16,ph of ocean surface water
global energy budget,IPCC_1_38_17,global energy budget
simulated Global mean surface air temperature (GSAT),IPCC_1_45_19,simulated global mean surface air temperature (gsat)
 simulated Global mean surface air temperature (GSAT) anomalies,IPCC_1_45_19,simulated global mean surface air temperature (gsat) anomalies
  estimate of GSAT (ERA-5),IPCC_1_45_19,estimate of gsat (era-5)
 observation-based estimate of global mean surface air temperature (GMST),IPCC_1_45_19,global mean surface temperature (gmst)
 mean GSAT,IPCC_1_45_19,mean gsat
global mean surface temperature (GMST),IPCC_1_47_20,global mean surface temperature (gmst)
annual GSAT change,IPCC_1_50_21,annual gsat change
 annual ice volume,IPCC_1_50_21,annual ice volume
 September sea ice extent,IPCC_1_50_21,september sea ice extent
global temperature,IPCC_1_58_23,global temperature
 cumulative GHG emissions,IPCC_1_58_23,cumulative ghg emissions
economic damages due to river floods,IPCC_1_62_25,economic damages due to river floods
  occurrence of heat-related human mortality,IPCC_1_62_25,occurrence of heat-related human mortality
 economic inequality,IPCC_1_62_25,economic inequality
Essential Climate Variables (ECVs),IPCC_1_64_26,essential climate variables (ecvs)
 Essential Ocean Variables (EOVs),IPCC_1_64_26,essential ocean variables (eovs)
leaf area INDEX,IPCC_1_66_27,leaf area index (lai)
 fraction of absorbed photosynthetically active radiation (FAPAR),IPCC_1_66_27,fraction of absorbed photosynthetically active radiation (fapar)
 fire disturbances/burned areas,IPCC_1_66_27,fire disturbances/burned areas
Time series of Normalized Difference Vegetation INDEX (NDVI),IPCC_1_67_28,time series of normalized difference vegetation index (ndvi)
Northern Hemisphere temperature over the last millennium,IPCC_1_67_29,northern hemisphere temperature over the last millennium
ocean heat content,IPCC_1_70_30,ocean heat content
 thermosteric sea level,IPCC_1_70_30,thermosteric sea level
 salinity,IPCC_1_70_30,salinity
 sea ice extent,IPCC_1_70_30,sea ice extent
 AMOC,IPCC_1_70_30,amoc
Atmospheric concentrations,IPCC_1_92_33,atmospheric co2 concentrations
 global temperatures,IPCC_1_92_33,global temperatures
Global mean surface temperature (GMST),IPCC_2_8_35,global mean surface temperature (gmst)
Boron-Isotope,IPCC_2_14_37,boron-isotope
Isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41,isotope-composition of molecular oxygen trapped in polar firn and ice
Free tropospheric ozone,IPCC_2_21_42,free tropospheric ozone
Aerosol abundance,IPCC_2_24_45,aerosol abundance
Pollen presence,IPCC_2_24_46,pollen presence
Surface and upper air temperatures,IPCC_2_26_47,surface and upper air temperatures
 Surface humidity,IPCC_2_26_47,surface humidity
 precipitable water vapour,IPCC_2_26_47,precipitable water vapour
 precipitation,IPCC_2_26_47,precipitation
 Precipitation-Evaporation,IPCC_2_26_47,precipitation-evaporation
 runoff,IPCC_2_26_47,runoff
 Sea level pressure and winds,IPCC_2_26_47,sea level pressure and winds
 Hadley/Walker circulation,IPCC_2_26_47,hadley/walker circulation
 global monsoons,IPCC_2_26_47,global monsoons
 strom tracks and jets,IPCC_2_26_47,strom tracks and jets
 sudden stratospheric warmings,IPCC_2_26_47,sudden stratospheric warmings
 Sea ice extent/area,IPCC_2_26_47,sea ice extent
 seasonality and thickness,IPCC_2_26_47,seasonality and thickness
 Terrestrial snow cover,IPCC_2_26_47,terrestrial snow cover
 Glacier mass and extent,IPCC_2_26_47,glacier mass and extent
 Terrestrial permafrost temperature and active layer thickness,IPCC_2_26_47,terrestrial permafrost temperature and active layer thickness
 Temperature/ocean heat content,IPCC_2_26_47,ocean heat content
 Salinity,IPCC_2_26_47,salinity
 Sea level,IPCC_2_26_47,sea level
 Circulation,IPCC_2_26_47,circulation
 pH and desoxygenation,IPCC_2_26_47,ph and desoxygenation
 Seasonal cycle of CO2,IPCC_2_26_47,seasonal cycle of co2
 Distribution of marine biota,IPCC_2_26_47,distribution of marine biota
 primary production of marine biota,IPCC_2_26_47,primary production of marine biota
 phenology of marine biota,IPCC_2_26_47,phenology of marine biota
 distribution of terrestrial biota,IPCC_2_26_47,distribution of terrestrial biota
 global greening/browning,IPCC_2_26_47,global greening/browning
 growing season of terrestrial biota,IPCC_2_26_47,growing season of terrestrial biota
Temperature,IPCC_2_28_57,temperature
 benthich isotopes,IPCC_2_28_57,benthich isotopes
Marine sediment cores,IPCC_2_29_60,marine sediment cores
Paleo-temperature records,IPCC_2_29_62,paleo-temperature records
Zonally averaged mean annual temperature reconstructions,IPCC_2_31_64,zonally averaged mean annual temperature reconstructions
subsurface borehole temperature profiles,IPCC_2_31_65,subsurface borehole temperature profiles
 changes in land versus sea surface temperature,IPCC_2_31_65,changes in land versus sea surface temperature
Radio occultation,IPCC_2_42_69,radio occultation
