indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2,classif,source,mea,assess
number of ramsar sites removed from the montreux record,RAMSAR_SG2.7_25,RAMSAR,1,ecosystems,NA,State of ecosystems (integrity),NA,old,RAMSAR,TRUE,FALSE
number of ramsar sites reported by parties to the ramsar secretariat of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_27,RAMSAR,1,Governance,ecosystems,National/international cooperation,State of ecosystems (integrity),old,RAMSAR,TRUE,FALSE
number of ramsar sites that have been designated,RAMSAR_SG2.6_21,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
"number of ramsar sites that have effective, implemented management plans",RAMSAR_SG2.5_14;RAMSAR_SG2.5_15,RAMSAR,1,ecosystems,Governance,Area conservation,National/international cooperation,old,RAMSAR,TRUE,FALSE
number of rare or threatened species,IPBES_VA_2_38_28,IPBES,0,biodiversity,NA,State of biodiversity,NA,old,IPBES,FALSE,TRUE
number of regional initiatives successfully implemented,RAMSAR_OG4.15_48;RAMSAR_OG4.18_63,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
number of relevant ramsar handbooks downloaded from the ramsar web-site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_45,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
number of reports shared by the parties in compliance with the resolutions of the convention,CITES_G2.2.4_13,CITES,1,Governance,NA,Nature-based legislation,NA,old,CITES,TRUE,FALSE
number of research studies involving economic valuation,IPBES_GA_3_15_329;IPBES_GA3_sup_6,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,old,IPBES,FALSE,TRUE
number of residents living in floodplains,GEO_17_8_200,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA,old,GEO,FALSE,TRUE
"number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",UNCCD_SO5.6_15,UNCCD,1,Governance,Knowledge systems,National/international cooperation,Information on society and socio-economics,old,UNCCD,TRUE,FALSE
number of scientists per population,GBF_GD_CY_98,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA,old,GBF,TRUE,FALSE
"number of seizures made through parties collaboration across range, transit and destination states, to address entire illegal trade chains",CITES_G3.5.1_29,CITES,1,Governance,Direct drivers,Nature-based legislation,Specific mention of over-exploitation and unsustainable use of species/ecosystems,old,CITES,TRUE,FALSE
number of social media links to world wetland day,RAMSAR_OG4.16_54,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA,old,RAMSAR,TRUE,FALSE
number of species at risk of extinction,IPBES_IAS_4_22_102,IPBES,0,Knowledge systems,biodiversity,Information on biodiversity,State of biodiversity,old,IPBES,FALSE,TRUE
number of species extinctions,IPBES_GA_1_52_19;IPBES_IAS_4_22_102,IPBES,0,biodiversity,NA,Change in biodiversity,NA,old,IPBES,FALSE,TRUE
number of strp briefing papers downloaded from the ramsar web site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_44,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
number of studies on ias available per region,IPBES_IAS_2_13_15,IPBES,0,Knowledge systems,biodiversity,Information on biodiversity,Invasive alien species,old,IPBES,FALSE,TRUE
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,IPCC_sup_13,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,IPBES_SUA_4_65_122,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,old,IPBES,FALSE,TRUE
"number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf. 16.7 (rev. cop17) on non-detriment findings related to - the population status of appendix-ii species; - the trends and impact of trade upon appendix-ii species; and - the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_G2.2.1_10,CITES,1,Knowledge systems,Direct drivers,Information on biodiversity,Specific mention of over-exploitation and unsustainable use of species/ecosystems,old,CITES,TRUE,FALSE
number of threatened species by species group,GBF_GA_CY_36,GBF,1,biodiversity,NA,Species conservation,NA,old,GBF,TRUE,FALSE
number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_G5.1.4_49,CITES,1,Governance,NA,National/international cooperation,NA,old,CITES,TRUE,FALSE
number of tourists,IPBES_IAS_2_5_11,IPBES,0,Human well-being,NA,Recreation,NA,old,IPBES,FALSE,TRUE
"number of tourists, scientists and facilities per biogeographic region",IPBES_IAS_6_21_146,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,old,IPBES,FALSE,TRUE
number of transboundary ramsar sites that have been designated,RAMSAR_SG2.6_23,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,IPCC_sup_14,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_GC_CY_90,GBF,1,biodiversity,NA,Genetic resources,NA,old,GBF,TRUE,FALSE
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",SDG_G16.10.1_232,SDG,1,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,old,SDG,TRUE,FALSE
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG_G16.2.2_217,SDG,1,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,old,SDG,TRUE,FALSE
"number of victims of intentional homicide per 100,000 population, by sex and age",SDG_G16.1.1_212,SDG,1,Knowledge systems,Governance,Information on society and socio-economics,Broken governance,old,SDG,TRUE,FALSE
number of vulnerable marine ecosystems,GEO_14_16_155,GEO,0,ecosystems,NA,State of ecosystems,NA,old,GEO,FALSE,TRUE
number of widespread phyla for which no information was available for a particular region,IPBES_IAS_2_13_16,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,old,IPBES,FALSE,TRUE
number of wildlife pictures posted on a photo-sharing website,IPBES_VA_3_48_73,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,old,IPBES,FALSE,TRUE
number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species,CITES_G2.2.3_12;CITES_G3.2.2_25,CITES,1,Governance,NA,National/international cooperation,NA,old,CITES,TRUE,FALSE
number of world natural heritage sites per country per year,IPBES_GA_1_52_19,IPBES,0,Governance,Knowledge systems,Nature-based legislation,Information on society and socio-economics,old,IPBES,FALSE,TRUE
number of world wetland day activities or events reported to the secretariat,RAMSAR_OG4.16_51,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA,old,RAMSAR,TRUE,FALSE
number of written ndfs submitted and number of parties submitting ndfs for posting in the cites online database,CITES_G2.1.2_8,CITES,1,Governance,NA,National/international cooperation,NA,old,CITES,TRUE,FALSE
number of ‘hits’ on scientific and technical guidance pages of the ramsar web-site and associated subtotals by country and ramsar region of the source of these hits,RAMSAR_OG4.14_43,RAMSAR,1,Knowledge systems,Knowledge systems,Information on society and socio-economics,Specific information on human-nature relationship,old,RAMSAR,TRUE,FALSE
"number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",GBF_T9_H_29,GBF,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,old,GBF,TRUE,FALSE
numbers of scientific publications on biodiversity,IPBES_GA_3_49_379,IPBES,0,Knowledge systems,Knowledge systems,Information on society and socio-economics,Information on biodiversity,old,IPBES,FALSE,TRUE
nutrient pollution,GEO_14_15_152,GEO,0,Direct drivers,NA,Pollution,NA,old,GEO,FALSE,TRUE
nutrient runoff into oceans (n and p),GEO_20_8_234,GEO,0,Direct drivers,NA,Pollution,NA,old,GEO,FALSE,TRUE
nutrition,GEO_3_5_16,GEO,0,Human well-being,NA,Healthy living conditions,NA,old,GEO,FALSE,TRUE
o recovery,GEO_5_17_42,GEO,0,ecosystems,NA,Abiotic conditions,NA,old,GEO,FALSE,TRUE
o3 concentration,GEO_5_17_41;GEO_5_17_42,GEO,0,ecosystems,NA,Abiotic conditions,NA,old,GEO,FALSE,TRUE
o3 emissions,GEO_20_6_228,GEO,0,Direct drivers,NA,Pollution,NA,old,GEO,FALSE,TRUE
occurrence of heat-related human mortality,IPCC_1_62_25,IPCC,0,Human well-being,Direct drivers,Healthy living conditions,Natural drivers,old,IPCC,FALSE,TRUE
ocean acidification,GBF_GB_CY_65;GEO_2_26_7,GBF;GEO,1,Direct drivers,NA,Pollution,NA,old,GBF,TRUE,FALSE
ocean acidification,GBF_GB_CY_65;GEO_2_26_7,GBF;GEO,1,Direct drivers,NA,Pollution,NA,old,GEO,FALSE,TRUE
ocean health index,GBF_GA_CY_31;IPBES_GA_2.2_38_74;IPBES_GA_4_155_228;IPBES_GA_6_86_279;GEO_6_8_48,GBF;IPBES;GEO,1,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,old,GBF,TRUE,FALSE
ocean health index,GBF_GA_CY_31;IPBES_GA_2.2_38_74;IPBES_GA_4_155_228;IPBES_GA_6_86_279;GEO_6_8_48,GBF;IPBES;GEO,1,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,old,IPBES,FALSE,TRUE
ocean health index,GBF_GA_CY_31;IPBES_GA_2.2_38_74;IPBES_GA_4_155_228;IPBES_GA_6_86_279;GEO_6_8_48,GBF;IPBES;GEO,1,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,old,GEO,FALSE,TRUE
ocean heat content,IPCC_1_13_4;IPCC_1_70_30;IPCC_2_26_47;IPCC_2_63_104;IPCC_3_51_187,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Climate change,old,IPCC,FALSE,TRUE
ocean heat content and specific humidity,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA,old,GEO,FALSE,TRUE
ocean heat content ohc,IPCC_9_37_432,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
ocean ph,IPCC_4_18_229,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
ocean salinity,IPCC_3_84_212,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
ocean temperature,IPCC_3_51_187,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
ocean-colour,IPCC_2_76_123,IPCC,0,ecosystems,NA,State of ecosystems (marine),NA,old,IPCC,FALSE,TRUE
oceanic carbon sequestration,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_33,IPBES,0,Ecosystem services,NA,Nature contribution,NA,old,IPBES,FALSE,TRUE
oceanic niño index (oni),IPCC_2_86_146,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
ocenan ph,IPCC_2_81_132,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
odss and ghgs,GEO_5_17_41,GEO,0,Direct drivers,NA,Pollution,NA,old,GEO,FALSE,TRUE
oecd better life index,IPBES_GA_4_131_209,IPBES,0,Human well-being,NA,Wellness,NA,old,IPBES,FALSE,TRUE
official development assistance on conservation and sustainable use of biodiversity,SDG_G15.a.1.a_207;SDG_G15.b.1.a_209;IPBES_SUA_sup_15.a.1.a_133;IPBES_SUA_sup_15.b.1.a_135,SDG;IPBES,1,Governance,NA,Nature-based legislation,NA,old,SDG,TRUE,FALSE
official development assistance on conservation and sustainable use of biodiversity,SDG_G15.a.1.a_207;SDG_G15.b.1.a_209;IPBES_SUA_sup_15.a.1.a_133;IPBES_SUA_sup_15.b.1.a_135,SDG;IPBES,1,Governance,NA,Nature-based legislation,NA,old,IPBES,FALSE,TRUE
official development assistance provided in support of the cbd objectives,IPBES_GA_3_51_381;IPBES_GA3_sup_67,IPBES,0,Governance,NA,Legislation/governance,NA,old,IPBES,FALSE,TRUE
old ship logbooks,IPCC_2_58_90,IPCC,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,old,IPCC,FALSE,TRUE
one-in-20 year return value of maximum five-day precipitation,IPCC_sup_33,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
one-in-20 year return value of maximum one-day precipitation,IPCC_sup_32,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
one-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
one-in-20 year return value of monthly maximum value of daily minimum temperature,IPCC_sup_20,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
one-in-20 year return value of monthly minimum value of daily maximum temperature,IPCC_sup_18,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
one-in-20 year return value of monthly minimum value of daily minimum temperature,IPCC_sup_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
online interest in biodiversity (proportion of google searches),IPBES_GA_3_15_329;IPBES_GA3_sup_4,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA,old,IPBES,FALSE,TRUE
opening up of forest canopy,IPBES_GA_2.2_65_113,IPBES,0,Direct drivers,NA,Land conversion,NA,old,IPBES,FALSE,TRUE
organisms` size or growth,IPBES_GA_4_34_176,IPBES,0,biodiversity,NA,State of biodiversity,NA,old,IPBES,FALSE,TRUE
other governance-related indicator on cms implementation,CMS_G1.3_5,CMS,1,Governance,NA,Nature-based legislation,NA,old,CMS,TRUE,FALSE
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_T1_CY_108,GBF,1,ecosystems,NA,Area conservation,NA,old,GBF,TRUE,FALSE
outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate,RAMSAR_SG3.12_41,RAMSAR,1,ecosystems,NA,Restoration efforts,NA,old,RAMSAR,TRUE,FALSE
overall species abundance,IPBES_GA_1_52_19,IPBES,0,biodiversity,NA,State of biodiversity,NA,old,IPBES,FALSE,TRUE
overexploitation of resources by outsiders and locals,IPBES_GA_2.2_6_56,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,old,IPBES,FALSE,TRUE
pacific decadal oscillation (pdo),IPCC_2_89_154;IPCC_3_80_205,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
pacific decadal variability (pdv),IPCC_3_78_203;IPCC_3_80_206;IPCC_3_81_208,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
paleo-temperature records,IPCC_2_29_62,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
palmer drought severity index (pdsi),IPCC_8_66_403;IPCC_11_58_543;IPCC_11_60_549;IPCC_sup_40,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
pan evaporation measurements,IPCC_11_61_551,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",SDG_G4.5.1_62,SDG,1,Human assets,NA,Coverage of basic needs,ILK,old,SDG,TRUE,FALSE
"participation rate in organized learning (one year before the official primary entry age), by sex",SDG_G4.2.2_59,SDG,1,Human assets,NA,Coverage of basic needs,NA,old,SDG,TRUE,FALSE
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",SDG_G4.3.1_60,SDG,1,Human assets,NA,Coverage of basic needs,NA,old,SDG,TRUE,FALSE
passenger and freight volumes by mode of transport,IPBES_GA_3_128_421,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA,old,IPBES,FALSE,TRUE
"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,old,SDG,TRUE,FALSE
"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA,old,IPBES,FALSE,TRUE
peatland extent and condition,GBF_GA_CY_6,GBF,1,ecosystems,NA,State of ecosystems (coverage),NA,old,GBF,TRUE,FALSE
penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551,IPCC,0,ecosystems,NA,Abiotic conditions,NA,old,IPCC,FALSE,TRUE
people per outlet mcdonals,IPBES_GA2.1_sup_19,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA,old,IPBES,FALSE,TRUE
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,IPBES_VA_3_2_52,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA,old,IPBES,FALSE,TRUE
per capita calorie intake,IPBES_GA2.1_sup_8,IPBES,0,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,old,IPBES,FALSE,TRUE
per capita consumption,IPBES_GA_2_22_28,IPBES,0,Human well-being,NA,Healthy living conditions,NA,old,IPBES,FALSE,TRUE
percent of total land area that is under cultivation,GBF_T1_CY_111,GBF,1,ecosystems,NA,State of ecosystems,NA,old,GBF,TRUE,FALSE
percentage change in local species richness,IPBES_GA3_sup_55,IPBES,0,biodiversity,NA,Change in biodiversity,NA,old,IPBES,FALSE,TRUE
percentage loss of red list indexed species from ramsar sites,RAMSAR_SG2.5_20,RAMSAR,1,biodiversity,NA,Change in biodiversity,NA,old,RAMSAR,TRUE,FALSE
percentage of abroad land use footprint,IPBES_GA_2_118_47,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,old,IPBES,FALSE,TRUE
percentage of agricultural and urban areas,IPBES_GA_2_118_47,IPBES,0,ecosystems,Knowledge systems,State of ecosystems (coverage),Information on society and socio-economics,old,IPBES,FALSE,TRUE
percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_141,GBF,1,ecosystems,Governance,Area conservation,Nature-based legislation,old,GBF,TRUE,FALSE
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,SDG_G3.d.2_55,SDG,1,Direct drivers,NA,(Infectious) diseases,NA,old,SDG,TRUE,FALSE
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA,old,GEO,FALSE,TRUE
percentage of contracting parties that have provided additional financial support through voluntary contributions to non-core funded convention activities,RAMSAR_OG4.17_60,RAMSAR,1,Governance,NA,Nature-based funding,NA,old,RAMSAR,TRUE,FALSE
percentage of countries that are category 1 cites parties,IPBES_GA_1_52_19;IPBES_GA_3_15_329;IPBES_GA3_sup_9,IPBES,0,Governance,NA,Nature-based legislation,NA,old,IPBES,FALSE,TRUE
percentage of countries that have ratified the nagoya protocol,IPBES_GA3_sup_59,IPBES,0,Governance,NA,Nature-based legislation,NA,old,IPBES,FALSE,TRUE
percentage of countries with invasive alien species legislation,IPBES_GA_3_72_395;IPBES_GA3_sup_35,IPBES,0,Governance,NA,Nature-based legislation,NA,old,IPBES,FALSE,TRUE
percentage of countries with revised nbsaps,IPBES_GA3_sup_60,IPBES,0,Governance,NA,Nature-based legislation,NA,old,IPBES,FALSE,TRUE
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_T17_CY_228,GBF,1,Governance,NA,Nature-based legislation,NA,old,GBF,TRUE,FALSE
percentage of cropped landscapes with at least 10 percentage natural land,GBF_T2_CY_122,GBF,1,ecosystems,NA,State of ecosystems,NA,old,GBF,TRUE,FALSE
percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,IPCC,0,ecosystems,Direct drivers,Abiotic conditions,Climate change,old,IPCC,FALSE,TRUE
percentage of freshwater key biodiversity areas covered by protected areas,IPBES_GA_3_72_395,IPBES,0,ecosystems,NA,Area conservation,NA,old,IPBES,FALSE,TRUE
percentage of global rural population with access to improved water resources,IPBES_GA3_sup_58,IPBES,0,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs,old,IPBES,FALSE,TRUE
percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,GBF,1,ecosystems,NA,Area conservation,NA,old,GBF,TRUE,FALSE
percentage of live coral cover,IPBES_GA_2.2_70_120;IPBES_GA_3_34_361,IPBES,0,ecosystems,NA,State of ecosystems,NA,old,IPBES,FALSE,TRUE
percentage of marine ecoregions covered by protected areas,IPBES_GA3_sup_45,IPBES,0,ecosystems,NA,Area conservation,NA,old,IPBES,FALSE,TRUE
percentage of marine key biodiversity areas covered by protected areas,IPBES_GA_3_72_395,IPBES,0,ecosystems,NA,Area conservation,NA,old,IPBES,FALSE,TRUE
percentage of parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands,RAMSAR_SG1.4_11,RAMSAR,1,biodiversity,Direct drivers,Change in biodiversity,Invasive alien species,old,RAMSAR,TRUE,FALSE
percentage of parties having national ramsar committees that include both governmental and non-governmental representation,RAMSAR_SG1.3_9,RAMSAR,1,Governance,NA,Nature-based legislation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands,RAMSAR_SG1.3_6,RAMSAR,1,Governance,ecosystems,Nature-based legislation,Area conservation,old,RAMSAR,TRUE,FALSE
percentage of parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands,RAMSAR_SG1.3_7,RAMSAR,1,Governance,ecosystems,National/international cooperation,Area conservation,old,RAMSAR,TRUE,FALSE
percentage of parties reporting having sufficient information to enforce the convention,CITES_G2.3.2_17,CITES,1,Knowledge systems,Governance,Information on biodiversity,National/international cooperation,old,CITES,TRUE,FALSE
percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs,CITES_G2.4.1_18,CITES,1,Knowledge systems,Governance,Information on biodiversity,National/international cooperation,old,CITES,TRUE,FALSE
"percentage of parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general",RAMSAR_SG1.3_8,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties reporting to the ramsar secretariat all cases of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_26,RAMSAR,1,ecosystems,NA,Change in ecosystems,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods,CITES_G4.1.2_36,CITES,1,Knowledge systems,Governance,Specific information on ILK and IPLC,National/international cooperation,old,CITES,TRUE,FALSE
percentage of parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin,RAMSAR_SG3.9_33,RAMSAR,1,Ecosystem services,Governance,Specific mention of sustainable use of species/ecosystems,Nature-based legislation,old,RAMSAR,TRUE,FALSE
percentage of parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands,RAMSAR_SG3.9_32,RAMSAR,1,Governance,NA,Nature-based legislation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,RAMSAR_OG4.15_49;RAMSAR_OG4.18_64,RAMSAR,1,Governance,NA,Nature-based legislation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have branded world wetlands day activities,RAMSAR_OG4.16_50,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have complete national wetland inventories,RAMSAR_SG3.8_30,RAMSAR,1,Knowledge systems,NA,Information on biodiversity,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones),RAMSAR_OG4.18_66,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have established national action plans for wetland cepa,RAMSAR_OG4.16_56,RAMSAR,1,Governance,NA,Nature-based legislation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features,RAMSAR_OG4.18_65,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have established or reviewed national policies or guidelines on invasive wetland species control and management,RAMSAR_SG1.4_10,RAMSAR,1,Governance,Direct drivers,Nature-based legislation,Invasive alien species,old,RAMSAR,TRUE,FALSE
percentage of parties that have established restoration plans [or activities] for sites,RAMSAR_SG3.12_39,RAMSAR,1,ecosystems,NA,Restoration efforts,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have implemented effective restoration or rehabilitation projects,RAMSAR_SG3.12_40,RAMSAR,1,ecosystems,NA,Restoration efforts,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans,RAMSAR_SG3.11_38,RAMSAR,1,Human well-being,NA,Healthy living conditions,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have included wetland issues within national policies or measures on agriculture,RAMSAR_SG1.1_3,RAMSAR,1,Governance,Ecosystem services,Nature-based legislation,Specific monetary valuation of nature contribution,old,RAMSAR,TRUE,FALSE
percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,RAMSAR_SG1.1_2;RAMSAR_SG1.2_4,RAMSAR,1,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,old,RAMSAR,TRUE,FALSE
percentage of parties that have incorporated wetlands issues into poverty eradication strategies,RAMSAR_SG3.11_37,RAMSAR,1,Governance,Human well-being,Nature-based legislation,Healthy living conditions,old,RAMSAR,TRUE,FALSE
percentage of parties that have made an assessment of national and local training needs for the implementation of the convention,RAMSAR_OG4.19_70,RAMSAR,1,Governance,NA,National/international cooperation,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have made assessment of ecosystem services of ramsar sites,RAMSAR_SG1.1_1;RAMSAR_SG3.11_36,RAMSAR,1,Knowledge systems,Ecosystem services,Information on biodiversity,Nature contribution,old,RAMSAR,TRUE,FALSE
percentage of parties that have made assessments of effective management of ramsar sites,RAMSAR_SG2.5_16,RAMSAR,1,Knowledge systems,ecosystems,Information on biodiversity,Area conservation,old,RAMSAR,TRUE,FALSE
percentage of parties that have received funding support from development assistance agencies for national wetlands conservation and management,RAMSAR_OG4.17_61,RAMSAR,1,Governance,NA,Nature-based funding,NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have taken actions to address the issues for which ramsar sites have been listed on the montreux record,RAMSAR_SG2.7_28,RAMSAR,1,ecosystems,NA,State of ecosystems (integrity),NA,old,RAMSAR,TRUE,FALSE
percentage of parties that have updated their national inventories in the last decade,RAMSAR_SG3.8_31,RAMSAR,1,Knowledge systems,NA,Information on biodiversity,NA,old,RAMSAR,TRUE,FALSE
